0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
110,Nevada,3-10,2-10,-.97,,2.08,90,1.27,87,2.27,53,2.62,113,,3.05,118,3.17,128,2.85,120,3.52,72
111,Central Michigan,4-8,3-8,-.99,,1.58,116,.30,133,1.71,102,2.62,113,,2.56,96,.87,19,2.49,99,3.80,90
112,Virginia,5-7,4-7,-1.00,,1.63,114,.84,116,1.54,114,2.75,106,,2.63,102,1.76,75,2.43,92,4.13,108
113,Akron,4-8,3-8,-1.04,,1.57,117,1.27,87,1.55,112,2.75,106,,2.61,100,3.61,131,1.99,55,3.95,98
114,Appalachian State,5-6,4-6,-1.05,,2.22,70,1.31,84,2.16,63,4.25,23,,3.27,126,2.43,115,3.20,128,4.38,118
115,Michigan State,5-7,4-7,-1.06,,1.64,113,1.33,82,1.58,110,2.73,109,,2.71,109,.80,17,2.65,108,4.13,109
116,Georgia State,3-9,2-9,-1.09,,2.08,89,.65,124,2.40,41,2.85,103,,3.17,124,2.75,124,2.61,107,5.25,130
117,Temple,3-9,3-9,-1.10,,1.46,124,1.26,91,1.08,129,2.86,102,,2.56,94,1.43,54,2.41,90,4.03,104
118,Oklahoma State,3-9,2-9,-1.11,,2.02,92,1.47,72,1.96,83,3.91,39,,3.13,122,2.83,125,3.13,127,3.43,67
119,Kennesaw State,2-10,2-9,-1.13,,1.29,126,.72,122,1.13,127,2.88,100,,2.42,84,1.31,46,2.67,111,3.58,76
120,UAB,3-9,2-9,-1.15,,1.89,100,.91,112,1.86,90,3.64,60,,3.03,117,2.32,111,2.51,101,4.72,123
,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
